0,1,2,3
0.7350918906249997,0.7737809374999998,0.7737809374999998,0.7350918906249997
0.7350918906249997,-1.0,0.8145062499999998,0.7737809374999998
0.7737809374999998,0.8573749999999998,0.7737809374999998,0.8145062499999998
0.8145062499999998,-1.0,0.7737809374997041,0.7737809374999998
0.7737809374999998,0.8145062499999998,-1.0,0.7350918906249997
0.0,0.0,0.0,0.0
-1.0,0.9024999999999999,-1.0,0.8145062499999998
0.0,0.0,0.0,0.0
0.8145062499999998,-1.0,0.8573749999999998,0.7737809374999998
0.8145062499999998,0.9024999999999999,0.9024999999999999,-1.0
0.8573749999999998,0.95,-1.0,0.8573749999999998
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
-1.0,0.9024999999999999,0.95,0.8573749999999998
0.9024999999999999,0.95,1.0,0.9024999999999999
0.0,0.0,0.0,0.0
